i;j;k;group;model;PER;ARAC;rsq;adjrsq;const
1;0;3;AKPca;FE;0.0233591462822599;-0.00911121883411593;0.00776482060776758;-0.0126612400923101;0.0365170271719435
2;0;3;MIPca;FE;0.00493007402233096;-0.158022186785795;0.0204586877515811;0.000468048726103287;0.0297372662569626
3;0;3;AKP;FE;0.00579650509668637;0.0231480828815758;0.00405002777629433;-0.017691337817993;0.0352394190779425
4;0;3;AKZ;FE;0.00104835087500432;0.0448484810963546;0.00227633098747562;-0.0225653660560272;0.0332986420372852
5;0;3;MIP;FE;0.00430961912579405;0.00498480155994022;0.00290700558309571;-0.0196798998045897;0.0281082962864318
6;0;3;MIZ;FE;0.00654103246024629;0.0222490621956172;0.0113666977690507;-0.0164343758876495;0.0216231428724131
7;0;3;PDP;FE;0.0116840367795891;0.0216877040733116;0.00351552195227194;-0.0206304206658463;0.0127862622267748
8;0;3;PDZ;FE;0.0053884843623164;0.11563222370642;0.0168901952253029;-0.0124251131172866;0.0154963286361156
9;0;3;RPP;FE;0.0148534199832188;0.0486364888275127;0.0150098409678134;-0.00859139022660083;0.00865696820012097
10;0;3;ARN;FE;0.0104042890755732;0.323594384999352;0.0328315741350528;0.00285195985622011;0.0262571625952985
