i;j;k;group;model;PER;CF;LNNAV;LNAGEM;OAUM;ARAC;rsq;adjrsq;const
1;4;3;AKPca;FE;0.0226237552642915;;;;-0.000195870104898947;;0.0115829308559994;-0.00876453058322801;0.0374346575949508
2;2;3;MIPca;FE;0.00507361986620103;;0.000215173868456228;;-0.00013658455141902;-0.137920995192298;0.0292444600633589;0.00878057516350883;0.0264443283250503
3;4;3;AKP;FE;0.00534133915773044;;;;-0.000193762270037198;;0.00751576356449487;-0.0141499457911001;0.036230187191209
4;1;3;AKZ;FE;;1.49796787497883e-05;0.000341892647107342;0.00114201426045824;-0.000377860682739762;0.0430677408579434;0.0516997395534792;0.0273472538415294;0.0262830264525212
5;1;3;MIP;FE;0.00366639685642218;;0.000307268300568251;-0.000384372094894944;-0.000110004599596413;0.0158679139167409;0.0142831467653683;-0.00894824685203499;0.0246007405022414
6;0;3;MIZ;FE;0.00817319131367601;6.26190031648617e-05;0.00224567594231935;-0.0017601252103554;-0.00131168517155615;0.0160429710570554;0.162964335852607;0.137058830428513;0.00102501975405783
7;2;3;PDP;FE;0.0145490724017774;;0.000435390313407999;-0.000235220974993313;;0.0467753130082852;0.0175141526181938;-0.0069181967105425;0.00544834134353632
8;3;3;PDZ;FE;;;;0.00126561498183836;-0.000189802517106134;0.132924944262752;0.0909761356545005;0.0628719863303861;0.012909672028474
9;2;3;RPP;FE;;;-9.05031706098465e-05;0.000195761333507065;-8.32785287690014e-05;0.0384898365501138;0.0395364313958209;0.0155601014894022;0.0101187267973227
10;4;3;ARN;FE;;;;;-0.00400307055237911;0.364185405098415;0.126736452169361;0.0996676359967134;0.0391525256543819
