i;j;k;group;model;PER;rsq;adjrsq;const
1;0;3;AKPca;FE;0.0314218014799384;0.0109514947036539;-0.00914263060183917;0.0400343150593487
2;0;3;MIPca;FE;0.00516994768090983;0.00142731807494919;-0.0186164244710949;0.0322423258495722
3;0;3;AKP;FE;0.00654008496981862;0.00364444524403713;-0.0178561160160229;0.0393443084946245
4;0;3;AKZ;FE;0.00375342751691607;0.00146525956663613;-0.0231366885720574;0.0381604918075248
5;0;3;MIP;FE;0.000754817888031127;1.36058247718531e-05;-0.0223341234848653;0.0331977367647807
6;0;3;MIZ;FE;-0.016176457861918;0.000789302199040221;-0.0266050966440292;0.0325140479067113
7;0;3;PDP;FE;0.00779678258632337;0.000577230559406886;-0.02332200957939;0.0147006387551381
8;0;3;PDZ;FE;0.00439271370143262;0.000614342731445172;-0.0280914155092475;0.018610252532801
9;0;3;RPP;FE;0.0313010282918784;0.00169373921347578;-0.0217269355263841;0.0102745730640899
10;0;3;ARN;FE;0.0220555699690969;0.00371795475220674;-0.0257816482026405;0.0318575920330126
